VMS_4502184_20160101193600_m5p7678_134p2528,4502184,LAUTAN SAMUDERA VI,-5.7678,134.2528,20160101193600,0,360,88,24.83,7.51,Pancing Ulur,2016-02-27,2017-02-26,718. 715,Landing,Dobo,None,None,None,Null,Null,Null,Null,Null,Landing
VMS_4502184_20160101213600_m5p7672_134p2519,4502184,LAUTAN SAMUDERA VI,-5.7672,134.2519,20160101213600,0,360,88,24.83,7.51,Pancing Ulur,2016-02-27,2017-02-26,718. 715,Landing,Dobo,None,None,None,Null,Null,Null,Null,Null,Landing
VMS_4502184_20160101223600_m5p7672_134p2519,4502184,LAUTAN SAMUDERA VI,-5.7672,134.2519,20160101223600,0,360,88,24.83,7.51,Pancing Ulur,2016-02-27,2017-02-26,718. 715,Landing,Dobo,None,None,None,Null,Null,Null,Null,Null,Landing
VMS_4502184_20160101233600_m5p7672_134p2517,4502184,LAUTAN SAMUDERA VI,-5.7672,134.2517,20160101233600,0,360,88,24.83,7.51,Pancing Ulur,2016-02-27,2017-02-26,718. 715,Landing,Dobo,None,None,None,Null,Null,Null,Null,Null,Landing
VMS_4502184_20160102003600_m5p7672_134p2519,4502184,LAUTAN SAMUDERA VI,-5.7672,134.2519,20160102003600,0,360,88,24.83,7.51,Pancing Ulur,2016-02-27,2017-02-26,718. 715,Landing,Dobo,None,None,None,Null,Null,Null,Null,Null,Landing
VMS_4502184_20160102013600_m5p7669_134p2522,4502184,LAUTAN SAMUDERA VI,-5.7669,134.2522,20160102013600,0,360,88,24.83,7.51,Pancing Ulur,2016-02-27,2017-02-26,718. 715,Landing,Dobo,None,None,None,Null,Null,Null,Null,Null,Landing
VMS_4502184_20160102023600_m5p7639_134p2539,4502184,LAUTAN SAMUDERA VI,-5.7639,134.2539,20160102023600,0,360,88,24.83,7.51,Pancing Ulur,2016-02-27,2017-02-26,718. 715,Landing,Dobo,None,None,None,Null,Null,Null,Null,Null,Landing
VMS_4502184_20160102033600_m5p7647_134p2539,4502184,LAUTAN SAMUDERA VI,-5.7647,134.2539,20160102033600,0,360,88,24.83,7.51,Pancing Ulur,2016-02-27,2017-02-26,718. 715,Landing,Dobo,None,None,None,Null,Null,Null,Null,Null,Landing
VMS_4502184_20160102043600_m5p765_134p2542,4502184,LAUTAN SAMUDERA VI,-5.765,134.2542,20160102043600,0,360,88,24.83,7.51,Pancing Ulur,2016-02-27,2017-02-26,718. 715,Landing,Dobo,None,None,None,Null,Null,Null,Null,Null,Landing
VMS_4502184_20160102053600_m5p7653_134p2544,4502184,LAUTAN SAMUDERA VI,-5.7653,134.2544,20160102053600,0,360,88,24.83,7.51,Pancing Ulur,2016-02-27,2017-02-26,718. 715,Landing,Dobo,None,None,None,Null,Null,Null,Null,Null,Landing
VMS_4502184_20160102063600_m5p7656_134p2547,4502184,LAUTAN SAMUDERA VI,-5.7656,134.2547,20160102063600,0,360,88,24.83,7.51,Pancing Ulur,2016-02-27,2017-02-26,718. 715,Landing,Dobo,None,None,None,Null,Null,Null,Null,Null,Landing
VMS_4502184_20160102073600_m5p7614_134p2444,4502184,LAUTAN SAMUDERA VI,-5.7614,134.2444,20160102073600,22,290,88,24.83,7.51,Pancing Ulur,2016-02-27,2017-02-26,718. 715,Landing,Dobo,None,None,None,Null,Null,Null,Null,Null,Landing
VMS_4502184_20160102083600_m5p7614_134p2444,4502184,LAUTAN SAMUDERA VI,-5.7614,134.2444,20160102083600,0,360,88,24.83,7.51,Pancing Ulur,2016-02-27,2017-02-26,718. 715,Landing,Dobo,None,None,None,Null,Null,Null,Null,Null,Landing
VMS_4502184_20160102093600_m5p7614_134p2444,4502184,LAUTAN SAMUDERA VI,-5.7614,134.2444,20160102093600,0,360,88,24.83,7.51,Pancing Ulur,2016-02-27,2017-02-26,718. 715,Landing,Dobo,None,None,None,Null,Null,Null,Null,Null,Landing
VMS_4502184_20160102103600_m5p7614_134p2444,4502184,LAUTAN SAMUDERA VI,-5.7614,134.2444,20160102103600,0,360,88,24.83,7.51,Pancing Ulur,2016-02-27,2017-02-26,718. 715,Landing,Dobo,None,None,None,Null,Null,Null,Null,Null,Landing
VMS_4502184_20160102113600_m5p7614_134p2444,4502184,LAUTAN SAMUDERA VI,-5.7614,134.2444,20160102113600,0,40,88,24.83,7.51,Pancing Ulur,2016-02-27,2017-02-26,718. 715,Landing,Dobo,None,None,None,Null,Null,Null,Null,Null,Landing
VMS_4502184_20160102123600_m5p7611_134p2444,4502184,LAUTAN SAMUDERA VI,-5.7611,134.2444,20160102123600,0,360,88,24.83,7.51,Pancing Ulur,2016-02-27,2017-02-26,718. 715,Landing,Dobo,None,None,None,Null,Null,Null,Null,Null,Landing
VMS_4502184_20160102133600_m5p7608_134p2444,4502184,LAUTAN SAMUDERA VI,-5.7608,134.2444,20160102133600,0,360,88,24.83,7.51,Pancing Ulur,2016-02-27,2017-02-26,718. 715,Landing,Dobo,None,None,None,Null,Null,Null,Null,Null,Landing
VMS_4502184_20160102143600_m5p7608_134p2444,4502184,LAUTAN SAMUDERA VI,-5.7608,134.2444,20160102143600,0,335,88,24.83,7.51,Pancing Ulur,2016-02-27,2017-02-26,718. 715,Landing,Dobo,None,None,None,Null,Null,Null,Null,Null,Landing
VMS_4502184_20160102153600_m5p7606_134p2444,4502184,LAUTAN SAMUDERA VI,-5.7606,134.2444,20160102153600,0,360,88,24.83,7.51,Pancing Ulur,2016-02-27,2017-02-26,718. 715,Landing,Dobo,None,None,None,Null,Null,Null,Null,Null,Landing
PRD_4502184_20160102154716_m5p7606_134p2444,4502184,LAUTAN SAMUDERA VI,-5.7606,134.2444,20160102154716,0,0,88,24.83,7.51,Pancing Ulur,Null,Null,Null,Null,Null,None,None,None,Null,Null,Null,Null,Null,Landing
VMS_4502184_20160102163600_m5p7606_134p2444,4502184,LAUTAN SAMUDERA VI,-5.7606,134.2444,20160102163600,0,360,88,24.83,7.51,Pancing Ulur,2016-02-27,2017-02-26,718. 715,Landing,Dobo,None,None,None,Null,Null,Null,Null,Null,Landing
