id_key,transmitter_no,vessel_name,latitude,longitude,reportdate,speed,heading,gross_tonnage,length,width,registered_gear_type,begin_date,end_date,registered_fishing_region,status,locale,vbd_id_key,vbd_dist,vbd_dtime,segment,velocity,heading_change,distance,time_elapsed,geom
VMS_74067_20140114170000_m5p988_99p776,74067,74067,-5.988,99.776,2014-01-14 17:00:00,0,3,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E61000008B6CE7FBA9F15840C1CAA145B6F317C0
VMS_74067_20140114180000_m5p983_99p77,74067,74067,-5.983,99.77,2014-01-14 18:00:00,0,321,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E6100000E17A14AE47F158403BDF4F8D97EE17C0
PRD_74067_20140114182530_m5p98218_99p76753,74067,74067,-5.98218,99.76753,2014-01-14 18:25:30,3,288,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,Null,Null,Null,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E6100000BA2C26361FF1584020240B98C0ED17C0
VMS_74067_20140114183100_m5p982_99p767,74067,74067,-5.982,99.767,2014-01-14 18:31:00,0,292,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E61000000C022B8716F1584021B0726891ED17C0
VMS_74067_20140114184300_m5p982_99p767,74067,74067,-5.982,99.767,2014-01-14 18:43:00,0,138,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E61000000C022B8716F1584021B0726891ED17C0
VMS_74067_20140114190000_m5p982_99p765,74067,74067,-5.982,99.765,2014-01-14 19:00:00,0,305,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E6100000295C8FC2F5F0584021B0726891ED17C0
VMS_74067_20140114200000_m5p982_99p762,74067,74067,-5.982,99.762,2014-01-14 20:00:00,0,145,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E610000054E3A59BC4F0584021B0726891ED17C0
VMS_74067_20140114201700_m5p981_99p764,74067,74067,-5.981,99.764,2014-01-14 20:17:00,10,12,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E610000037894160E5F05840068195438BEC17C0
VMS_74067_20140114202600_m5p981_99p764,74067,74067,-5.981,99.764,2014-01-14 20:26:00,10,263,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E610000037894160E5F05840068195438BEC17C0
VMS_74067_20140114210000_m5p98_99p763,74067,74067,-5.98,99.763,2014-01-14 21:00:00,0,142,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E610000046B6F3FDD4F05840EC51B81E85EB17C0
VMS_74067_20140114213900_m5p98_99p763,74067,74067,-5.98,99.763,2014-01-14 21:39:00,0,3,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E610000046B6F3FDD4F05840EC51B81E85EB17C0
VMS_74067_20140114220000_m5p98_99p762,74067,74067,-5.98,99.762,2014-01-14 22:00:00,0,160,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E610000054E3A59BC4F05840EC51B81E85EB17C0
VMS_74067_20140114221100_m5p981_99p762,74067,74067,-5.981,99.762,2014-01-14 22:11:00,0,316,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E610000054E3A59BC4F05840068195438BEC17C0
VMS_74067_20140114222500_m5p981_99p762,74067,74067,-5.981,99.762,2014-01-14 22:25:00,0,137,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E610000054E3A59BC4F05840068195438BEC17C0
VMS_74067_20140114223700_m5p981_99p762,74067,74067,-5.981,99.762,2014-01-14 22:37:00,0,152,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E610000054E3A59BC4F05840068195438BEC17C0
VMS_74067_20140114230000_m5p981_99p763,74067,74067,-5.981,99.763,2014-01-14 23:00:00,0,347,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E610000046B6F3FDD4F05840068195438BEC17C0
VMS_74067_20140114231200_m5p981_99p763,74067,74067,-5.981,99.763,2014-01-14 23:12:00,0,104,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E610000046B6F3FDD4F05840068195438BEC17C0
VMS_74067_20140115000000_m5p98_99p763,74067,74067,-5.98,99.763,2014-01-15 00:00:01,30,329,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E610000046B6F3FDD4F05840EC51B81E85EB17C0
VMS_74067_20140115001100_m5p98_99p763,74067,74067,-5.98,99.763,2014-01-15 00:11:00,0,300,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E610000046B6F3FDD4F05840EC51B81E85EB17C0
