id_Key,TRANSMITTER_NO,VESSEL_NAME,LATITUDE,LONGITUDE,REPORTDATE,SPEED,HEADING,GROSS_TONNAGE,LENGTH,WIDTH,REGISTERED_GEAR_TYPE,BEGIN_DATE,END_DATE,REGISTERED_FISHING_REGION
VMS_4949257_20140104170500_m8p1822_65p2422,4949257,4949257,-8.1822,65.2422,20140104170500,43,65,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140104180500_m8p1744_65p2983,4949257,4949257,-8.1744,65.2983,20140104180500,27,70,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140104190500_m8p1744_65p3339,4949257,4949257,-8.1744,65.3339,20140104190500,22,40,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140104200500_m8p1578_65p3878,4949257,4949257,-8.1578,65.3878,20140104200500,43,100,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140104210500_m8p1722_65p4178,4949257,4949257,-8.1722,65.4178,20140104210500,5,200,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140104220500_m8p1853_65p4444,4949257,4949257,-8.1853,65.4444,20140104220500,38,55,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140104230500_m8p1431_65p505,4949257,4949257,-8.1431,65.505,20140104230500,27,75,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140105000500_m8p1347_65p5492,4949257,4949257,-8.1347,65.5492,20140105000500,38,190,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140105010500_m8p1117_65p6061,4949257,4949257,-8.1117,65.6061,20140105010500,54,55,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140105020500_m8p0794_65p6536,4949257,4949257,-8.0794,65.6536,20140105020500,59,25,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140105030500_m8p0528_65p6947,4949257,4949257,-8.0528,65.6947,20140105030500,22,105,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140105040500_m8p0833_65p7056,4949257,4949257,-8.0833,65.7056,20140105040500,32,175,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140105050500_m8p1022_65p7533,4949257,4949257,-8.1022,65.7533,20140105050500,49,75,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140105060500_m8p0778_65p8292,4949257,4949257,-8.0778,65.8292,20140105060500,54,55,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140105070600_m8p0519_65p9011,4949257,4949257,-8.0519,65.9011,20140105070600,59,95,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140105080500_m8p0547_66p0003,4949257,4949257,-8.0547,66.0003,20140105080500,54,100,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140105090500_m8p0667_66p0936,4949257,4949257,-8.0667,66.0936,20140105090500,54,100,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140105100600_m8p0833_66p1892,4949257,4949257,-8.0833,66.1892,20140105100600,59,100,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140105110500_m8p0975_66p2875,4949257,4949257,-8.0975,66.2875,20140105110500,59,95,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140105111300_m8p0994_66p3008,4949257,4949257,-8.0994,66.3008,20140105111300,59,95,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140105112000_m8p0978_66p3061,4949257,4949257,-8.0978,66.3061,20140105112000,16,350,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140105173500_m8p2186_66p7317,4949257,4949257,-8.2186,66.7317,20140105173500,65,105,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140105183200_m8p2494_66p8264,4949257,4949257,-8.2494,66.8264,20140105183200,65,105,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140105193200_m8p2847_66p9294,4949257,4949257,-8.2847,66.9294,20140105193200,59,110,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140105203200_m8p3147_67p0272,4949257,4949257,-8.3147,67.0272,20140105203200,65,105,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140105213200_m8p3414_67p1244,4949257,4949257,-8.3414,67.1244,20140105213200,59,100,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140105223200_m8p3725_67p2233,4949257,4949257,-8.3725,67.2233,20140105223200,59,105,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140105224700_m8p3769_67p2336,4949257,4949257,-8.3769,67.2336,20140105224700,5,165,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140105234400_m8p4158_67p2958,4949257,4949257,-8.4158,67.2958,20140105234400,65,180,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140106004400_m8p515_67p2967,4949257,4949257,-8.515,67.2967,20140106004400,59,185,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140106014400_m8p6136_67p2919,4949257,4949257,-8.6136,67.2919,20140106014400,59,190,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140106024400_m8p6761_67p2411,4949257,4949257,-8.6761,67.2411,20140106024400,70,260,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140106034400_m8p6792_67p1331,4949257,4949257,-8.6792,67.1331,20140106034400,70,270,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140106044400_m8p5803_67p1114,4949257,4949257,-8.5803,67.1114,20140106044400,65,0,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140106054400_m8p4742_67p1111,4949257,4949257,-8.4742,67.1111,20140106054400,65,355,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140106064400_m8p38_67p1369,4949257,4949257,-8.38,67.1369,20140106064400,54,35,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140106074400_m8p3597_67p2169,4949257,4949257,-8.3597,67.2169,20140106074400,0,135,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140106084400_m8p3525_67p2089,4949257,4949257,-8.3525,67.2089,20140106084400,5,315,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140106094400_m8p3475_67p2019,4949257,4949257,-8.3475,67.2019,20140106094400,0,290,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140106104400_m8p3419_67p1928,4949257,4949257,-8.3419,67.1928,20140106104400,11,300,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140106144400_m8p3844_67p2539,4949257,4949257,-8.3844,67.2539,20140106144400,22,200,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
